Point #, Point x (m), Point y (m), Signal (dBm), Channel, PHY mode, Security mode
0, "3225,00", "2129,00", "-81,7", "56", "n/ac", "WPA2 Enterprise"
1, "3321,00", "2125,00", "", "", "", ""
2, "3432,00", "2112,00", "", "", "", ""
3, "3244,00", "1754,00", "-79", "56", "n/ac", "WPA2 Enterprise"
4, "3254,00", "1863,00", "", "", "", ""
5, "3253,00", "1518,00", "-72,5", "56", "n/ac", "WPA2 Enterprise"
6, "3260,00", "1629,00", "-74,7", "56", "n/ac", "WPA2 Enterprise"
7, "3570,00", "1632,00", "", "", "", ""
8, "3464,00", "1631,00", "", "", "", ""
9, "2923,00", "1519,00", "", "", "", ""
10, "3251,00", "1329,00", "-77", "56", "n/ac", "WPA2 Enterprise"
11, "3251,00", "1140,00", "-73,3", "56", "n/ac", "WPA2 Enterprise"
12, "3261,00", "1012,00", "-72", "56", "n/ac", "WPA2 Enterprise"
13, "3255,00", "740,00", "-42", "56", "n/ac", "WPA2 Enterprise"
14, "3247,00", "913,00", "-51,7", "56", "n/ac", "WPA2 Enterprise"
15, "3249,00", "594,00", "-56", "56", "n/ac", "WPA2 Enterprise"
16, "3249,00", "477,00", "-64,3", "56", "n/ac", "WPA2 Enterprise"
17, "3254,00", "359,00", "-67,7", "56", "n/ac", "WPA2 Enterprise"
18, "3256,00", "237,00", "", "", "", ""
19, "3039,00", "368,00", "-70", "56", "n/ac", "WPA2 Enterprise"
20, "2910,00", "376,00", "", "", "", ""
21, "3038,00", "585,00", "-81", "56", "n/ac", "WPA2 Enterprise"
22, "3014,00", "1149,00", "-82", "56", "n/ac", "WPA2 Enterprise"
23, "3362,00", "1846,00", "", "", "", ""
